level_0_index;level_0_text;level_1_index;level_1_text;level_2_index;level_2_text;country;description;source;name;declared_unit;weight [kg];volume density [kg/m3];area density [kg/m2];linear density [kg/m];penrt_a1a3 [MJ];penrt_c3 [MJ];penrt_c4 [MJ];penrt_d [MJ];gwp_a1a3 [kgCo2e];gwp_c3 [kgCo2e];gwp_c4 [kgCo2e];gwp_d [kgCo2e]
1;Mineral building products;1.4;Mortar and Concrete;1.4.03;Screed dry mortar;IN;EDGE LCA Handbook;https://edgebuildings.com/wp-content/uploads/2022/04/IFC-India-Construction-Materials-Database-Methodology-Report.pdf;Cement/lime render for external wall finishes ;kg;;2200.0;;;1.5;;;;0.27;;;
1;Mineral building products;1.2;Concrete aggregates;1.2.09;Puzzolan;IN;EDGE LCA Handbook;https://edgebuildings.com/wp-content/uploads/2022/04/IFC-India-Construction-Materials-Database-Methodology-Report.pdf;FaLG (fly ash/lime/gypsum) block ;kg;;1760.0;;;0.83;;;;0.2;;;
2;Insulation materials;2.11;Cellulose fibre;2.11.02;Cellulose insulation (panels);IN;EDGE LCA Handbook;https://edgebuildings.com/wp-content/uploads/2022/04/IFC-India-Construction-Materials-Database-Methodology-Report.pdf;Cellulose insulation ;kg;;50.0;;;3.6;;;;-1.1;;;
2;Insulation materials;2.9;Expanded cork;2.9.01;Expanded cork;IN;EDGE LCA Handbook;https://edgebuildings.com/wp-content/uploads/2022/04/IFC-India-Construction-Materials-Database-Methodology-Report.pdf;Cork flooring tile ;kg;;;2.0;;62.0;;;;0.41;;;
2;Insulation materials;2.9;Expanded cork;2.9.01;Expanded cork;IN;EDGE LCA Handbook;https://edgebuildings.com/wp-content/uploads/2022/04/IFC-India-Construction-Materials-Database-Methodology-Report.pdf;Cork insulation ;kg;;80.0;;;8.3;;;;-1.4;;;
2;Insulation materials;2.2;Expanded polystyrene;2.2.01;EPS white;IN;EDGE LCA Handbook;https://edgebuildings.com/wp-content/uploads/2022/04/IFC-India-Construction-Materials-Database-Methodology-Report.pdf;Expanded polystyrene insulation (EPS) ;kg;;20.0;;;85.0;;;;2.9;;;
2;Insulation materials;2.1;Mineral wool;2.1.02;Glass wool;IN;EDGE LCA Handbook;https://edgebuildings.com/wp-content/uploads/2022/04/IFC-India-Construction-Materials-Database-Methodology-Report.pdf;Glass wool ;kg;;16.0;;;37.0;;;;2.5;;;
2;Insulation materials;2.4;Polyurethane rigid foam;2.4.04;PIR rigid foam;IN;EDGE LCA Handbook;https://edgebuildings.com/wp-content/uploads/2022/04/IFC-India-Construction-Materials-Database-Methodology-Report.pdf;Polyurethane rigid insulation foam (HCFC blown) ;kg;;32.0;;;120.0;;;;12.0;;;
2;Insulation materials;2.4;Polyurethane rigid foam;2.4.04;PIR rigid foam;IN;EDGE LCA Handbook;https://edgebuildings.com/wp-content/uploads/2022/04/IFC-India-Construction-Materials-Database-Methodology-Report.pdf;Polyurethane rigid insulation foam (pentane blown) ;kg;;32.0;;;120.0;;;;8.1;;;
2;Mineral building products;1.5;Mortar and Concrete;1.4.02;Ready mixed concrete;IN;EDGE LCA Handbook;https://edgebuildings.com/wp-content/uploads/2022/04/IFC-India-Construction-Materials-Database-Methodology-Report.pdf;Ready mix concrete with Portland slag cement (25% GGBS) ;kg;;2200.0;;;0.7;;;;0.089;;;
2;Insulation materials;2.1;Mineral wool;2.1.03;Rock wool;IN;EDGE LCA Handbook;https://edgebuildings.com/wp-content/uploads/2022/04/IFC-India-Construction-Materials-Database-Methodology-Report.pdf;Stone wool ;kg;;25.0;;;15.0;;;;1.4;;;
2;Insulation materials;2.23;Straw;2.23.01;Straw bale;IN;EDGE LCA Handbook;https://edgebuildings.com/wp-content/uploads/2022/04/IFC-India-Construction-Materials-Database-Methodology-Report.pdf;Straw bale ;kg;;140.0;;;0.63;;;;-1.4;;;
2;Insulation materials;2.1;Wood fibre;2.10.01;Wood fibre insulation boards;IN;EDGE LCA Handbook;https://edgebuildings.com/wp-content/uploads/2022/04/IFC-India-Construction-Materials-Database-Methodology-Report.pdf;Woodwool board insulation ;kg;;;12.0;;12.0;;;;0.7;;;
3;Wood;3.1;Solid wood;3.1.01;Structural timber;IN;EDGE LCA Handbook;https://edgebuildings.com/wp-content/uploads/2022/04/IFC-India-Construction-Materials-Database-Methodology-Report.pdf;Air-dried sawn timber ;kg;;655.0;;;4.1;;;;-1.3;;;
3;Wood;3.3;Wooden floor;3.3.02;Parquet;IN;EDGE LCA Handbook;https://edgebuildings.com/wp-content/uploads/2022/04/IFC-India-Construction-Materials-Database-Methodology-Report.pdf;Bamboo flooring ;kg;;;5.0;;110.0;;;;2.3;;;
3;Wood;3.2;Derived timber products;3.2.02;Plywood;IN;EDGE LCA Handbook;https://edgebuildings.com/wp-content/uploads/2022/04/IFC-India-Construction-Materials-Database-Methodology-Report.pdf;Plywood ;kg;;600.0;;;18.0;;;;-0.31;;;
3;Wood;3.3;Wooden floor;3.3.02;Parquet;IN;EDGE LCA Handbook;https://edgebuildings.com/wp-content/uploads/2022/04/IFC-India-Construction-Materials-Database-Methodology-Report.pdf;Wood block flooring ;kg;;;14.0;;64.0;;;;1.5;;;
3;Wood;3.3;Wooden floor;3.3.04;Multilayer Modular Floor Coverings;IN;EDGE LCA Handbook;https://edgebuildings.com/wp-content/uploads/2022/04/IFC-India-Construction-Materials-Database-Methodology-Report.pdf;Wood laminate/multi-layer parquet flooring ;kg;;;6.0;;77.0;;;;2.0;;;
3;Wood;3.1;Solid wood;3.1.01;Structural timber;IN;EDGE LCA Handbook;https://edgebuildings.com/wp-content/uploads/2022/04/IFC-India-Construction-Materials-Database-Methodology-Report.pdf;Kiln-dried timber ;kg;;655.0;;;15.0;;;;-0.43;;;
4;Metals;4.3;Aluminium;4.3.02;Aluminium profiles;IN;EDGE LCA Handbook;https://edgebuildings.com/wp-content/uploads/2022/04/IFC-India-Construction-Materials-Database-Methodology-Report.pdf;Aluminum extruded profile ;kg;;;;;330.0;;;;33.0;;;
4;Metals;4.3;Aluminium;4.3.02;Aluminium profiles;IN;EDGE LCA Handbook;https://edgebuildings.com/wp-content/uploads/2022/04/IFC-India-Construction-Materials-Database-Methodology-Report.pdf;Aluminum extruded profile (window frame) ;kg;;;;2.0;280.0;;;;26.0;;;
4;Metals;4.3;Aluminium;4.3.02;Aluminium profiles;IN;EDGE LCA Handbook;https://edgebuildings.com/wp-content/uploads/2022/04/IFC-India-Construction-Materials-Database-Methodology-Report.pdf;Aluminum ingot ;kg;;;;;310.0;;;;31.0;;;
4;Metals;4.3;Aluminium;4.3.01;Aluminium sheets;IN;EDGE LCA Handbook;https://edgebuildings.com/wp-content/uploads/2022/04/IFC-India-Construction-Materials-Database-Methodology-Report.pdf;Aluminum profiled cladding ;kg;;2800.0;;;360.0;;;;35.0;;;
4;Metals;4.3;Aluminium;4.3.01;Aluminium sheets;IN;EDGE LCA Handbook;https://edgebuildings.com/wp-content/uploads/2022/04/IFC-India-Construction-Materials-Database-Methodology-Report.pdf;Aluminum sheet ;kg;;;;;330.0;;;;32.0;;;
4;Metals;4.3;Aluminium;4.3.01;Aluminium sheets;IN;EDGE LCA Handbook;https://edgebuildings.com/wp-content/uploads/2022/04/IFC-India-Construction-Materials-Database-Methodology-Report.pdf;Aluminum thin composite cladding ;kg;;;6.0;;220.0;;;;18.0;;;
4;Metals;4.4;Copper;4.4.01;Copper sheets;IN;EDGE LCA Handbook;https://edgebuildings.com/wp-content/uploads/2022/04/IFC-India-Construction-Materials-Database-Methodology-Report.pdf;Copper sheet ;kg;;8940.0;;;90.0;;;;7.4;;;
4;Metals;4.1;Steel and iron;4.1.03;Structural steel profile;IN;EDGE LCA Handbook;https://edgebuildings.com/wp-content/uploads/2022/04/IFC-India-Construction-Materials-Database-Methodology-Report.pdf;DRI Steel ;kg;;;;;38.0;;;;2.1;;;
4;Metals;4.1;Steel and iron;4.1.03;Structural steel profile;IN;EDGE LCA Handbook;https://edgebuildings.com/wp-content/uploads/2022/04/IFC-India-Construction-Materials-Database-Methodology-Report.pdf;EAF Steel ;kg;;;;;9.9;;;;0.83;;;
4;Metals;4.1;Steel and iron;4.1.04;Steel sheets;IN;EDGE LCA Handbook;https://edgebuildings.com/wp-content/uploads/2022/04/IFC-India-Construction-Materials-Database-Methodology-Report.pdf;Electrogalvanized steel sheet (“corrugated zinc”) ;kg;;7850.0;;;35.0;;;;3.0;;;
4;Metals;4.1;Steel and iron;4.1.01;Steel reinforing bar;IN;EDGE LCA Handbook;https://edgebuildings.com/wp-content/uploads/2022/04/IFC-India-Construction-Materials-Database-Methodology-Report.pdf;Steel reinforcement (steel rebar) ;kg;;7850.0;;;30.0;;;;2.6;;;
4;Metals;4.1;Steel and iron;4.1.03;Structural steel profile;IN;EDGE LCA Handbook;https://edgebuildings.com/wp-content/uploads/2022/04/IFC-India-Construction-Materials-Database-Methodology-Report.pdf;Steel section ;kg;;7850.0;;;30.0;;;;2.5;;;
4;Metals;4.1;Steel and iron;4.1.03;Structural steel profile;IN;EDGE LCA Handbook;https://edgebuildings.com/wp-content/uploads/2022/04/IFC-India-Construction-Materials-Database-Methodology-Report.pdf;BOF Steel ;kg;;;;;24.0;;;;2.8;;;
4;Metals;4.1;Steel and iron;4.1.03;Structural steel profile;IN;EDGE LCA Handbook;https://edgebuildings.com/wp-content/uploads/2022/04/IFC-India-Construction-Materials-Database-Methodology-Report.pdf;Galvanized steel stud ;kg;;7850.0;;;37.0;;;;3.1;;;
5;Coverings;5.2;Floor finishes;5.2.01;Floor finishes;IN;EDGE LCA Handbook;https://edgebuildings.com/wp-content/uploads/2022/04/IFC-India-Construction-Materials-Database-Methodology-Report.pdf;Carpet (nylon) ;kg;;;2.2;;130.0;;;;7.0;;;
5;Coverings;5.2;Floor finishes;5.2.01;Floor finishes;IN;EDGE LCA Handbook;https://edgebuildings.com/wp-content/uploads/2022/04/IFC-India-Construction-Materials-Database-Methodology-Report.pdf;Carpet tile (nylon) ;kg;;;;;47.0;;;;2.3;;;
5;Coverings;5.2;Floor finishes;5.2.01;Floor finishes;IN;EDGE LCA Handbook;https://edgebuildings.com/wp-content/uploads/2022/04/IFC-India-Construction-Materials-Database-Methodology-Report.pdf;Jute flooring ;kg;;;2.0;;29.0;;;;0.91;;;
5;Coverings;5.2;Floor finishes;5.2.01;Floor finishes;IN;EDGE LCA Handbook;https://edgebuildings.com/wp-content/uploads/2022/04/IFC-India-Construction-Materials-Database-Methodology-Report.pdf;Linoleum flooring tile ;kg;;;3.0;;49.0;;;;1.1;;;
6;Plastics;6.2;Floorings;6.2.02;Rubber flooring;IN;EDGE LCA Handbook;https://edgebuildings.com/wp-content/uploads/2022/04/IFC-India-Construction-Materials-Database-Methodology-Report.pdf;Rubber flooring ;kg;;;3.0;;67.0;;;;3.6;;;
6;Plastics;6.2;Floorings;6.2.01;PVC flooring;IN;EDGE LCA Handbook;https://edgebuildings.com/wp-content/uploads/2022/04/IFC-India-Construction-Materials-Database-Methodology-Report.pdf;Vinyl (PVC) flooring ;kg;;;3.0;;55.0;;;;2.1;;;
7;Components for windows and curtain walls;7.2;Infill;7.2.01;Transparent infill;IN;EDGE LCA Handbook;https://edgebuildings.com/wp-content/uploads/2022/04/IFC-India-Construction-Materials-Database-Methodology-Report.pdf;Float glass ;kg;;2500.0;;;17.0;;;;1.2;;;
7;Components for windows and curtain walls;7.8;Windows;7.8.03;Metal windows;IN;EDGE LCA Handbook;https://edgebuildings.com/wp-content/uploads/2022/04/IFC-India-Construction-Materials-Database-Methodology-Report.pdf;Steel window frame ;kg;;;;2.7;51.0;;;;3.5;;;
7;Components for windows and curtain walls;7.1;Frames / Profiles;7.1.01;Wood;IN;EDGE LCA Handbook;https://edgebuildings.com/wp-content/uploads/2022/04/IFC-India-Construction-Materials-Database-Methodology-Report.pdf;Timber window frame ;kg;;;;3.2;63.0;;;;2.4;;;
7;Components for windows and curtain walls;7.8;Windows;7.8.04;Plastic windows;IN;EDGE LCA Handbook;https://edgebuildings.com/wp-content/uploads/2022/04/IFC-India-Construction-Materials-Database-Methodology-Report.pdf;u-PVC window frame ;kg;;;;2.8;61.0;;;;3.9;;;
2;Mineral building products;1.5;Mortar and Concrete;1.4.02;Ready mixed concrete;IN;EDGE LCA Handbook;https://edgebuildings.com/wp-content/uploads/2022/04/IFC-India-Construction-Materials-Database-Methodology-Report.pdf;Calcined gypsum (gypsum hemihydrate plaster of Paris) ;kg;;;;;1.7;;;;0.13;;;
1;Mineral building products;1.3;Bricks blocks and elements;1.3.07;Tiles and cladding panels;IN;EDGE LCA Handbook;https://edgebuildings.com/wp-content/uploads/2022/04/IFC-India-Construction-Materials-Database-Methodology-Report.pdf;Cement-based terrazzo (in-situ) ;kg;;;252.0;;1.8;;;;0.3;;;
2;Insulation materials;2.1;Wood fibre;2.10.01;Wood fibre insulation boards;IN;EDGE LCA Handbook;https://edgebuildings.com/wp-content/uploads/2022/04/IFC-India-Construction-Materials-Database-Methodology-Report.pdf;Fiber cement board ;kg;;1700.0;;;4.3;;;;0.41;;;
6;Plastics;6.2;Floorings;6.2.01;PVC flooring;IN;EDGE LCA Handbook;https://edgebuildings.com/wp-content/uploads/2022/04/IFC-India-Construction-Materials-Database-Methodology-Report.pdf;Flooring adhesive for vinyl/carpet/linoleum ;kg;;;;;38.0;;;;1.9;;;
1;Mineral building products;1.4;Mortar and Concrete;1.4.01;Ready mixed concrete;IN;EDGE LCA Handbook;https://edgebuildings.com/wp-content/uploads/2022/04/IFC-India-Construction-Materials-Database-Methodology-Report.pdf;Glass reinforced concrete ;kg;;2550.0;;;1.3;;;;0.16;;;
1;Mineral building products;1.3;Bricks blocks and elements;1.3.04;Light concrete;IN;EDGE LCA Handbook;https://edgebuildings.com/wp-content/uploads/2022/04/IFC-India-Construction-Materials-Database-Methodology-Report.pdf;Medium density concrete block ;kg;;1400.0;;;2.7;;;;0.29;;;
1;Mineral building products;1.2;Concrete aggregates;1.2.01;Sand and gravel;IN;EDGE LCA Handbook;https://edgebuildings.com/wp-content/uploads/2022/04/IFC-India-Construction-Materials-Database-Methodology-Report.pdf;OPC stabilized soil block ;kg;;2000.0;;;0.7;;;;0.096;;;
2;Insulation materials;2.1;Wood fibre;2.10.01;Wood fibre insulation boards;IN;EDGE LCA Handbook;https://edgebuildings.com/wp-content/uploads/2022/04/IFC-India-Construction-Materials-Database-Methodology-Report.pdf;Particle board/chipboard ;kg;;710.0;;;12.0;;;;-1.3;;;
1;Mineral building products;1.4;Mortar and Concrete;1.4.03;Screed dry mortar;IN;EDGE LCA Handbook;https://edgebuildings.com/wp-content/uploads/2022/04/IFC-India-Construction-Materials-Database-Methodology-Report.pdf;Polymeric render for external walls ;kg;;;3.0;;12.0;;;;0.85;;;
3;Wood;3.3;Wooden floor;3.3.02;Parquet;IN;EDGE LCA Handbook;https://edgebuildings.com/wp-content/uploads/2022/04/IFC-India-Construction-Materials-Database-Methodology-Report.pdf;Underlay/fixing for laminate flooring ;kg;;;;;98.0;;;;3.1;;;
