level_0_index;level_0_text;level_1_index;level_1_text;level_2_index;level_2_text;country;source;epd identifier;name;declared_unit;declared_amount;weight [kg];volume density [kg/m3];area density [kg/m2];linear density [kg/m];penrt_a1a3 [MJ];penrt_c3 [MJ];penrt_c4 [MJ];penrt_d [MJ];gwp_a1a3 [kgCo2e];gwp_c3 [kgCo2e];gwp_c4 [kgCo2e];gwp_d [kgCo2e]
1;Mineral building products;1.3;Bricks, blocks and elements;1.3.02;Fired brick;IN;https://data.environdec.com/datasetdetail/process.xhtml?uuid=02f0f1cf-ae9c-4132-6d34-08dc83e25481&version=07.01.005&stock=Environdata&lang=en;02f0f1cf-ae9c-4132-6d34-08dc83e25481;Jay Jalaram Brick Works;kg;1000.0;;;;;1570.0;;;;80.5;;;
1;Mineral building products;1.1;Binder;1.1.01;Cement;IN;https://www.environdec.com/library/epd1414;;JSW Portland Slag Cement (PSC);kg;1000.0;;;;;1343.56;;;;325.14;;;
1;Mineral building products;1.1;Binder;1.1.01;Cement;IN;https://www.environdec.com/library/epd5019;;Aditya Birla Ordinary Portland Cement (OPC);kg;1000.0;;;;;5960.0;;;;996.0000000000001;;;
1;Mineral building products;1.1;Binder;1.1.01;Cement;IN;https://www.environdec.com/library/epd5019;;Aditya Birla Pozzolana Portland Cement (PPC);kg;1000.0;;;;;4440.0;;;;710.0;;;
1;Mineral building products;1.1;Binder;1.1.01;Cement;IN;https://www.environdec.com/library/epd5019;;Aditya Birla Portland Slag Cement (PSC);kg;1000.0;;;;;3480.0;;;;487.0;;;
1;Mineral building products;1.1;Binder;1.1.01;Cement;IN;https://www.environdec.com/library/epd5019;;Aditya Birla Portland Composite Cement (PCC);kg;1000.0;;;;;3660.0;;;;541.0;;;
1;Mineral building products;1.4;Mortar and Concrete;1.4.01;Ready mixed concrete;IN;https://www.environdec.com/library/epd6471;;JSW M 7.5 Ready Mixed Concrete (RMC);m3;;;2200.0;;;952.0;;;;96.8;;;
1;Mineral building products;1.4;Mortar and Concrete;1.4.01;Ready mixed concrete;IN;https://www.environdec.com/library/epd6471;;JSW M 10 Ready Mixed Concrete (RMC);m3;;;2250.0;;;776.0;;;;100.0;;;
1;Mineral building products;1.4;Mortar and Concrete;1.4.01;Ready mixed concrete;IN;https://www.environdec.com/library/epd6471;;JSW M 25 Ready Mixed Concrete (RMC);m3;;;2297.0;;;1390.0;;;;171.0;;;
1;Mineral building products;1.4;Mortar and Concrete;1.4.01;Ready mixed concrete;IN;https://www.environdec.com/library/epd6471;;JSW M 30 Ready Mixed Concrete (RMC);m3;;;2300.0;;;1660.0;;;;245.00000000000003;;;
1;Mineral building products;1.4;Mortar and Concrete;1.4.01;Ready mixed concrete;IN;https://www.environdec.com/library/epd6471;;JSW M 35 Ready Mixed Concrete (RMC);m3;;;2400.0;;;1740.0;;;;257.0;;;
1;Mineral building products;1.4;Mortar and Concrete;1.4.01;Ready mixed concrete;IN;https://www.environdec.com/library/epd6471;;JSW M 40 Ready Mixed Concrete (RMC);m3;;;3425.0;;;1820.0;;;;256.0;;;
1;Mineral building products;1.4;Mortar and Concrete;1.4.01;Ready mixed concrete;IN;https://www.environdec.com/library/epd6471;;JSW M 20 Ready Mixed Concrete (RMC);m3;;;2297.0;;;1340.0;;;;166.0;;;
1;Mineral building products;1.4;Mortar and Concrete;1.4.01;Ready mixed concrete;IN;https://www.environdec.com/library/epd6471;;JSW M 45 Ready Mixed Concrete (RMC);m3;;;2450.0;;;2029.9999999999998;;;;315.0;;;
1;Mineral building products;1.4;Mortar and Concrete;1.4.01;Ready mixed concrete;IN;https://www.environdec.com/library/epd6471;;JSW M 50 Ready Mixed Concrete (RMC);m3;;;2500.0;;;2029.9999999999998;;;;451.0;;;
1;Mineral building products;1.4;Mortar and Concrete;1.4.01;Ready mixed concrete;IN;https://www.environdec.com/library/epd6471;;JSW M 60 Ready Mixed Concrete (RMC);m3;;;2550.0;;;3690.0;;;;480.0;;;
4;Metals;4.1;Steel and iron;4.1.01;Steel reinforcing bar;TH;https://www.greenbooklive.com/pdfdocs/en15804epd/BREGENEPD000603.pdf;	dce7a9b4-2319-4fe1-9603-1496715b3487;Carbon Steel Reinforcing Bar from Tata Steel (secondary production route - scrap);kg;1000.0;;;;;11200.000000000002;;;;950.0;;;
4;Metals;4.1;Steel and iron;4.1.01;Steel reinforcing bar;IN;https://environdec.com/library/epd5018;;Steel rebar from Tata Steel Limited;kg;1000.0;;;;;26503.1;;;;2727.16;;;
1;Mineral building products;1.1;Binder;1.1.01;Cement;KH;https://www.environdec.com/library/epd11571;;Chip Mong INSEE Cement;kg;1000.0;;;;;3835.0;;;;844.8;;;
7;Components for windows and curtain walls;7.2;Infill;7.2.01;Transparent infill;IN;https://data.environdec.com/datasetdetail/process.xhtml?uuid=473e0a06-7e1d-4e4b-5fd3-08dd4f168fb7&version=07.01.003&stock=Environdata&lang=en;473e0a06-7e1d-4e4b-5fd3-08dd4f168fb7;Clear Glass PLANILUX with thickness of 5 mm;m2;;;;12.5;;187.0;;;;17.0;;;
7;Components for windows and curtain walls;7.2;Infill;7.2.01;Transparent infill;IN;https://data.environdec.com/datasetdetail/process.xhtml?uuid=e00aae69-3128-43cf-5fce-08dc95f6a1ce&version=07.01.005&stock=Environdata&lang=en;e00aae69-3128-43cf-5fce-08dc95f6a1ce;"	
Magnetron Coated Glass on SGG PLANILUXÂ® 5 mm";m2;;;;;;190.0;;;;17.4;;;
2;Insulation materials;2.21;Thermal insulation composite system;2.21.01;Thermal insulation composite system;IN;https://www.environdec.com/library/epd1418;;Berger ETICS (External Thermal Insulation & Composite Systems) with EPS board (50 mm);m2;;;;;;202.99999999999997;;;;10.5;;;
2;Insulation materials;2.21;Thermal insulation composite system;2.21.01;Thermal insulation composite system;IN;https://www.environdec.com/library/epd1418;;Berger ETICS (External Thermal Insulation & Composite Systems) with EPS board (75 mm);m2;;;;;;257.0;;;;12.4;;;
2;Insulation materials;2.21;Thermal insulation composite system;2.21.01;Thermal insulation composite system;IN;https://www.environdec.com/library/epd1418;;Berger ETICS (External Thermal Insulation & Composite Systems) with EPS board (100 mm);m2;;;;;;312.0;;;;14.299999999999999;;;
2;Insulation materials;2.21;Thermal insulation composite system;2.21.01;Thermal insulation composite system;IN;https://www.environdec.com/library/epd1418;;Berger ETICS (External Thermal Insulation & Composite Systems) with EPS board (120 mm);m2;;;;;;356.0;;;;15.8;;;
2;Insulation materials;2.21;Thermal insulation composite system;2.21.01;Thermal insulation composite system;IN;https://www.environdec.com/library/epd1418;;Berger ETICS (External Thermal Insulation & Composite Systems) with XPS board (50 mm);m2;;;;;;263.0;;;;13.200000000000001;;;
2;Insulation materials;2.21;Thermal insulation composite system;2.21.01;Thermal insulation composite system;IN;https://www.environdec.com/library/epd1418;;Berger ETICS (External Thermal Insulation & Composite Systems) with XPS board (75 mm);m2;;;;;;348.0;;;;16.4;;;
2;Insulation materials;2.21;Thermal insulation composite system;2.21.01;Thermal insulation composite system;IN;https://www.environdec.com/library/epd1418;;Berger ETICS (External Thermal Insulation & Composite Systems) with XPS board (100 mm);m2;;;;;;433.0;;;;19.7;;;
2;Insulation materials;2.21;Thermal insulation composite system;2.21.01;Thermal insulation composite system;IN;https://www.environdec.com/library/epd1418;;Berger ETICS (External Thermal Insulation & Composite Systems) with XPS board (120 mm);m2;;;;;;501.99999999999994;;;;22.0;;;
2;Insulation materials;2.21;Thermal insulation composite system;2.21.01;Thermal insulation composite system;IN;https://www.environdec.com/library/epd1418;;Berger ETICS (External Thermal Insulation & Composite Systems) with Mineral-wool board (50 mm);m2;;;;;;219.0;;;;16.5;;;
2;Insulation materials;2.21;Thermal insulation composite system;2.21.01;Thermal insulation composite system;IN;https://www.environdec.com/library/epd1418;;Berger ETICS (External Thermal Insulation & Composite Systems) with Mineral-wool board (75 mm);m2;;;;;;282.0;;;;21.299999999999997;;;
2;Insulation materials;2.21;Thermal insulation composite system;2.21.01;Thermal insulation composite system;IN;https://www.environdec.com/library/epd1418;;Berger ETICS (External Thermal Insulation & Composite Systems) with Mineral-wool board (100 mm);m2;;;;;;345.0;;;;26.099999999999998;;;
2;Insulation materials;2.21;Thermal insulation composite system;2.21.01;Thermal insulation composite system;IN;https://www.environdec.com/library/epd1418;;Berger ETICS (External Thermal Insulation & Composite Systems) with Mineral-wool board (120 mm);m2;;;;;;395.0;;;;29.900000000000002;;;
