level_0_index;level_0_text;level_1_index;level_1_text;level_2_index;level_2_text;country;name;declared_unit;weight [kg];volume density [kg/m3];area density [kg/m2];linear density [kg/m];penrt_b6 [MJ];gwp_b6 [kgCo2e];Source;UUID
9;Others;2;Energy carrier - delivery free user;5;Electricity;IN;electricity ;kWh;;;;;3.02157854939026;0.7051314;GEG (German Building Energy Law, additonal data);
9;Others;2;Energy carrier - delivery free user;3;Heating oil;IN;Light fuel oil;kWh;11.72;860;;;4.73225255972696;0.293039765568188;;de4f1273-f63f-4c2e-998c-639cb0e6e2c3
9;Others;2;Energy carrier - delivery free user;3;Heating oil;IN;Heavy fuel oil;kWh;11.75;930;;;4.10604255319149;0.314819748144201;;2efcb539-f2f6-4db4-97ae-ece46761395d
9;Others;2;Energy carrier - delivery free user;2;Liquid gas;IN;Liquefied petroleum gas (LPG);kWh;12.7777777777778;550;;;4.64525217391304;0.241955806435355;;ac476639-0ef2-4485-bb73-d446948eb7c6
9;Others;2;Energy carrier - delivery free user;1;natural gas;IN;natural gas;kWh;7.92;760;;;4.356;0.264;GEG (German Building Energy Law, additonal data);
9;Others;2;Energy carrier - delivery free user;10;Solid Fuel;IN;coal;kWh;8.14;760;;;4.356;0.44;GEG (German Building Energy Law, additonal data);
9;Others;2;Energy carrier - delivery free user;10;Solid Fuel;IN;lignite;kWh;2.68;700;;;4.752;0.473;GEG (German Building Energy Law, additonal data);
9;Others;2;Energy carrier - delivery free user;3;Heating oil;IN;diesel;kWh;11.57;840;;;4.356;0.301382886776145;GEG (German Building Energy Law, additonal data);
9;Others;2;Energy carrier - delivery free user;3;Heating oil;IN;cerosin;kWh;11.1111111111111;800;;;4.356;0.31383;Source:  [Rhetors-Kerosin](https://www.rhetos.de/html/lex/kerosin.htm);
9;Others;2;Energy carrier - delivery free user;10;Solid Fuel;IN;fire wood (log wood);kWh;4.2;500;;;0.792;0.0132;Rechnagel, T2.9.2-1;
9;Others;2;Energy carrier - delivery free user;10;Solid Fuel;IN;fire wood (wood chips);kWh;4.3;230;;;0.792;0.0242;Rechnagel, T2.9.2-1;
9;Others;2;Energy carrier - delivery free user;10;Solid Fuel;IN;fire wood (wood pellets);kWh;4.9;650;;;0.792;0.033;Rechnagel, T2.9.2-1;
9;Others;2;Energy carrier - delivery free user;10;Solid Fuel;IN;char coal;kWh;9.02777777777778;350;;;0.792;0.0385;GEG (German Building Energy Law, additonal data);
9;Others;2;Energy carrier - delivery free user;5;Electricity;ID;electricity ;kWh;;;;;2.89645065913963;0.6759309;GEG (German Building Energy Law, additonal data);
9;Others;2;Energy carrier - delivery free user;3;Heating oil;ID;Light fuel oil;kWh;11.72;860;;;4.73225255972696;0.293039765568188;;de4f1273-f63f-4c2e-998c-639cb0e6e2c3
9;Others;2;Energy carrier - delivery free user;3;Heating oil;ID;Heavy fuel oil;kWh;11.75;930;;;4.10604255319149;0.314819748144201;;2efcb539-f2f6-4db4-97ae-ece46761395d
9;Others;2;Energy carrier - delivery free user;2;Liquid gas;ID;Liquefied petroleum gas (LPG);kWh;12.7777777777778;550;;;4.64525217391304;0.241955806435355;;ac476639-0ef2-4485-bb73-d446948eb7c6
9;Others;2;Energy carrier - delivery free user;1;natural gas;ID;natural gas;kWh;7.92;760;;;4.356;0.264;GEG (German Building Energy Law, additonal data);
9;Others;2;Energy carrier - delivery free user;10;Solid Fuel;ID;coal;kWh;8.14;760;;;4.356;0.44;GEG (German Building Energy Law, additonal data);
9;Others;2;Energy carrier - delivery free user;10;Solid Fuel;ID;lignite;kWh;2.68;700;;;4.752;0.473;GEG (German Building Energy Law, additonal data);
9;Others;2;Energy carrier - delivery free user;3;Heating oil;ID;diesel;kWh;11.57;840;;;4.356;0.301382886776145;GEG (German Building Energy Law, additonal data);
9;Others;2;Energy carrier - delivery free user;3;Heating oil;ID;cerosin;kWh;11.1111111111111;800;;;4.356;0.31383;Source:  [Rhetors-Kerosin](https://www.rhetos.de/html/lex/kerosin.htm);
9;Others;2;Energy carrier - delivery free user;10;Solid Fuel;ID;fire wood (log wood);kWh;4.2;500;;;0.792;0.0132;Rechnagel, T2.9.2-1;
9;Others;2;Energy carrier - delivery free user;10;Solid Fuel;ID;fire wood (wood chips);kWh;4.3;230;;;0.792;0.0242;Rechnagel, T2.9.2-1;
9;Others;2;Energy carrier - delivery free user;10;Solid Fuel;ID;fire wood (wood pellets);kWh;4.9;650;;;0.792;0.033;Rechnagel, T2.9.2-1;
9;Others;2;Energy carrier - delivery free user;10;Solid Fuel;ID;char coal;kWh;9.02777777777778;350;;;0.792;0.0385;GEG (German Building Energy Law, additonal data);
9;Others;2;Energy carrier - delivery free user;5;Electricity;VN;electricity ;kWh;;;;;1.75604868124818;0.40980072;GEG (German Building Energy Law, additonal data);
9;Others;2;Energy carrier - delivery free user;3;Heating oil;VN;Light fuel oil;kWh;11.72;860;;;4.73225255972696;0.293039765568188;;de4f1273-f63f-4c2e-998c-639cb0e6e2c3
9;Others;2;Energy carrier - delivery free user;3;Heating oil;VN;Heavy fuel oil;kWh;11.75;930;;;4.10604255319149;0.314819748144201;;2efcb539-f2f6-4db4-97ae-ece46761395d
9;Others;2;Energy carrier - delivery free user;2;Liquid gas;VN;Liquefied petroleum gas (LPG);kWh;12.7777777777778;550;;;4.64525217391304;0.241955806435355;;ac476639-0ef2-4485-bb73-d446948eb7c6
9;Others;2;Energy carrier - delivery free user;1;natural gas;VN;natural gas;kWh;7.92;760;;;4.356;0.264;GEG (German Building Energy Law, additonal data);
9;Others;2;Energy carrier - delivery free user;10;Solid Fuel;VN;coal;kWh;8.14;760;;;4.356;0.44;GEG (German Building Energy Law, additonal data);
9;Others;2;Energy carrier - delivery free user;10;Solid Fuel;VN;lignite;kWh;2.68;700;;;4.752;0.473;GEG (German Building Energy Law, additonal data);
9;Others;2;Energy carrier - delivery free user;3;Heating oil;VN;diesel;kWh;11.57;840;;;4.356;0.301382886776145;GEG (German Building Energy Law, additonal data);
9;Others;2;Energy carrier - delivery free user;3;Heating oil;VN;cerosin;kWh;11.1111111111111;800;;;4.356;0.31383;Source:  [Rhetors-Kerosin](https://www.rhetos.de/html/lex/kerosin.htm);
9;Others;2;Energy carrier - delivery free user;10;Solid Fuel;VN;fire wood (log wood);kWh;4.2;500;;;0.792;0.0132;Rechnagel, T2.9.2-1;
9;Others;2;Energy carrier - delivery free user;10;Solid Fuel;VN;fire wood (wood chips);kWh;4.3;230;;;0.792;0.0242;Rechnagel, T2.9.2-1;
9;Others;2;Energy carrier - delivery free user;10;Solid Fuel;VN;fire wood (wood pellets);kWh;4.9;650;;;0.792;0.033;Rechnagel, T2.9.2-1;
9;Others;2;Energy carrier - delivery free user;10;Solid Fuel;VN;char coal;kWh;9.02777777777778;350;;;0.792;0.0385;GEG (German Building Energy Law, additonal data);
9;Others;2;Energy carrier - delivery free user;5;Electricity;KH;electricity ;kWh;;;;;1.78992861999846;0.41770712;GEG (German Building Energy Law, additonal data);
9;Others;2;Energy carrier - delivery free user;3;Heating oil;KH;Light fuel oil;kWh;11.72;860;;;4.73225255972696;0.293039765568188;;de4f1273-f63f-4c2e-998c-639cb0e6e2c3
9;Others;2;Energy carrier - delivery free user;3;Heating oil;KH;Heavy fuel oil;kWh;11.75;930;;;4.10604255319149;0.314819748144201;;2efcb539-f2f6-4db4-97ae-ece46761395d
9;Others;2;Energy carrier - delivery free user;2;Liquid gas;KH;Liquefied petroleum gas (LPG);kWh;12.7777777777778;550;;;4.64525217391304;0.241955806435355;;ac476639-0ef2-4485-bb73-d446948eb7c6
9;Others;2;Energy carrier - delivery free user;1;natural gas;KH;natural gas;kWh;7.92;760;;;4.356;0.264;GEG (German Building Energy Law, additonal data);
9;Others;2;Energy carrier - delivery free user;10;Solid Fuel;KH;coal;kWh;8.14;760;;;4.356;0.44;GEG (German Building Energy Law, additonal data);
9;Others;2;Energy carrier - delivery free user;10;Solid Fuel;KH;lignite;kWh;2.68;700;;;4.752;0.473;GEG (German Building Energy Law, additonal data);
9;Others;2;Energy carrier - delivery free user;3;Heating oil;KH;diesel;kWh;11.57;840;;;4.356;0.301382886776145;GEG (German Building Energy Law, additonal data);
9;Others;2;Energy carrier - delivery free user;3;Heating oil;KH;cerosin;kWh;11.1111111111111;800;;;4.356;0.31383;Source:  [Rhetors-Kerosin](https://www.rhetos.de/html/lex/kerosin.htm);
9;Others;2;Energy carrier - delivery free user;10;Solid Fuel;KH;fire wood (log wood);kWh;4.2;500;;;0.792;0.0132;Rechnagel, T2.9.2-1;
9;Others;2;Energy carrier - delivery free user;10;Solid Fuel;KH;fire wood (wood chips);kWh;4.3;230;;;0.792;0.0242;Rechnagel, T2.9.2-1;
9;Others;2;Energy carrier - delivery free user;10;Solid Fuel;KH;fire wood (wood pellets);kWh;4.9;650;;;0.792;0.033;Rechnagel, T2.9.2-1;
9;Others;2;Energy carrier - delivery free user;10;Solid Fuel;KH;char coal;kWh;9.02777777777778;350;;;0.792;0.0385;GEG (German Building Energy Law, additonal data);
9;Others;2;Energy carrier - delivery free user;5;Electricity;TH;electricity ;kWh;;;;;2.40285529528665;0.5607429;GEG (German Building Energy Law, additonal data);
9;Others;2;Energy carrier - delivery free user;3;Heating oil;TH;Light fuel oil;kWh;11.72;860;;;4.73225255972696;0.293039765568188;;de4f1273-f63f-4c2e-998c-639cb0e6e2c3
9;Others;2;Energy carrier - delivery free user;3;Heating oil;TH;Heavy fuel oil;kWh;11.75;930;;;4.10604255319149;0.314819748144201;;2efcb539-f2f6-4db4-97ae-ece46761395d
9;Others;2;Energy carrier - delivery free user;2;Liquid gas;TH;Liquefied petroleum gas (LPG);kWh;12.7777777777778;550;;;4.64525217391304;0.241955806435355;;ac476639-0ef2-4485-bb73-d446948eb7c6
9;Others;2;Energy carrier - delivery free user;1;natural gas;TH;natural gas;kWh;7.92;760;;;4.356;0.264;GEG (German Building Energy Law, additonal data);
9;Others;2;Energy carrier - delivery free user;10;Solid Fuel;TH;coal;kWh;8.14;760;;;4.356;0.44;GEG (German Building Energy Law, additonal data);
9;Others;2;Energy carrier - delivery free user;10;Solid Fuel;TH;lignite;kWh;2.68;700;;;4.752;0.473;GEG (German Building Energy Law, additonal data);
9;Others;2;Energy carrier - delivery free user;3;Heating oil;TH;diesel;kWh;11.57;840;;;4.356;0.301382886776145;GEG (German Building Energy Law, additonal data);
9;Others;2;Energy carrier - delivery free user;3;Heating oil;TH;cerosin;kWh;11.1111111111111;800;;;4.356;0.31383;Source:  [Rhetors-Kerosin](https://www.rhetos.de/html/lex/kerosin.htm);
9;Others;2;Energy carrier - delivery free user;10;Solid Fuel;TH;fire wood (log wood);kWh;4.2;500;;;0.792;0.0132;Rechnagel, T2.9.2-1;
9;Others;2;Energy carrier - delivery free user;10;Solid Fuel;TH;fire wood (wood chips);kWh;4.3;230;;;0.792;0.0242;Rechnagel, T2.9.2-1;
9;Others;2;Energy carrier - delivery free user;10;Solid Fuel;TH;fire wood (wood pellets);kWh;4.9;650;;;0.792;0.033;Rechnagel, T2.9.2-1;
9;Others;2;Energy carrier - delivery free user;10;Solid Fuel;TH;char coal;kWh;9.02777777777778;350;;;0.792;0.0385;GEG (German Building Energy Law, additonal data);
